"Date","line_out_depth","chl_20um","chl_GF.F","chl_3um","chl_Bulk.GF.F","phaeo_20um","phaeo_GF.F","phaeo_3um","phaeo_Bulk.GF.F","phaeo.chla","SumChl"
2016-06-20,2.5,0.439997314,0.5390456625,NA,2.019968295,0.025357891,0.2239462795,NA,0.3875311585,0.191850119360413,NA
2016-06-30,2.5,NA,NA,NA,4.201359865,0.130954227,NA,NA,0.445948402,0.106143823983047,NA
2016-07-11,2.5,NA,1.1080113325,NA,NA,NA,0.286059667,NA,NA,NA,NA
2016-07-21,2.5,0.152296557,0.664294219,0.4535975315,1.274491024,0.215105899,0.1469694145,0.019404058,0.597821354,0.469066743305679,1.2701883075
2016-08-01,2.5,NA,0.3254273345,0.2874746945,2.470431766,NA,0.3117386405,0.2041372845,0.9259488575,0.374812561206356,NA
2016-08-11,2.5,0.3665789595,0.257272403,0.0633845635,0.670597154,0.1237709565,0.2779017685,0.099743648,0.552954212,0.824569875821453,0.687235926
2016-08-22,2.5,9.887185501,0.131689811,NA,8.883821857,0.234216125,0.2302148895,10.51586211,8.284792405,0.932570749206548,NA
2016-09-01,2.5,NA,0.914610669,0.639767956,2.034269047,0.484126279,0.2866848155,0.033337145,0.729394851,0.358553777375545,NA
2016-09-11,2.5,0.145243216,0.728277695,0.2687138515,1.672179113,0.10716459,0.379464927,0.155461815,0.729288148,0.436130401540304,1.1422347625
2016-09-22,2.5,0.103561602,0.874267082,0.605053117,1.590687665,0.128874252,0.495677945,0.306524852,1.2123362105,0.762145980744749,1.582881801
2016-10-02,2.5,0.295765617,0.931132292,0.6747820175,2.2092520795,0.192569163,0.851163743,0.4220213185,1.4105707555,0.638483389283147,1.9016799265
2016-10-12,2.5,NA,NA,0.330187351,1.725978481,0.83057135,0.14822655,0.14958178,1.06029623,0.614316019389584,NA
2016-10-22,5,0.02472292,0.233575586,0.17300916,0.411397221,0.055900856,0.347533794,0.119974669,0.383168861,0.931384174323336,0.431307666
2016-11-09,2.5,0.0414488695,0.115427841,0.0883474245,0.2686728505,0.1021091515,0.231777786,0.115759388,0.4223588475,1.57201908087844,0.245224135
2016-11-15,2.5,0.027253365,0.107241971,0.1117435815,0.2123944055,0.0693993875,0.201377325,0.095973199,0.3694674365,1.73953469080427,0.2462389175
2016-11-26,2.5,0.080456241,0.116699801,0.288701672,0.511234472,0.0847010025,0.189286317,0.1627628795,0.3881608765,0.75926193901103,0.485857714
2016-12-03,2.5,0.0940608,0.1127927295,0.108822768,0.43534408,0.1075034965,0.196815298,0.1408948365,0.438035702,1.00618274630035,0.3156762975
2016-12-15,2.5,0.047265116,0.141412166,0.118268694,0.286199978,0.063203344,0.2064182175,0.092777962,0.3526867785,1.23230889451711,0.306945976
2017-01-15,2.5,0.0472887005,0.222714284,0.152762775,0.400644032,0.095878958,0.112451578,0.1356837135,0.2946792945,0.735513999869091,0.4227657595
2017-01-26,2.5,0.0969447775,0.3032374585,0.169874151,0.53436312,0.106975256,0.2267201755,0.088235067,0.4923182655,0.921317821297248,0.570056387
2017-02-17,2.5,0.063275685,0.073724714,0.0845492885,0.2060696445,0.1107838285,0.2194838135,0.095706493,0.3315954375,1.60914257072929,0.2215496875
2017-02-25,2.5,0.0251227255,0.234944012,0.170976756,0.501981036,0.1165899185,0.240250245,0.1085897215,0.268038922,0.533962247131583,0.4310434935
